Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
82823,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82825,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82830,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3554139,15.815516,"https://www.google.se/maps/@61.3554139,15.815516,12z?entry=ttu"
82831,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3745092,15.8031067,"https://www.google.se/maps/@61.3745092,15.8031067,12z?entry=ttu"
82832,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3775803,15.8335982,"https://www.google.se/maps/@61.3775803,15.8335982,12z?entry=ttu"
82833,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3830529,15.8142009,"https://www.google.se/maps/@61.3830529,15.8142009,12z?entry=ttu"
82834,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.4046705,15.8092651,"https://www.google.se/maps/@61.4046705,15.8092651,12z?entry=ttu"
82880,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82881,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82892,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82893,Voxnabruk,OVANÅKER,2121,Gävleborgs län,61.3644815,15.5115955,"https://www.google.se/maps/@61.3644815,15.5115955,12z?entry=ttu"
82894,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82895,Viksjöfors,OVANÅKER,2121,Gävleborgs län,61.3383355,15.9517131,"https://www.google.se/maps/@61.3383355,15.9517131,12z?entry=ttu"
82920,Bergsjö,NORDANSTIG,2132,Gävleborgs län,61.9800215,17.0627975,"https://www.google.se/maps/@61.9800215,17.0627975,12z?entry=ttu"
82921,Bergsjö,NORDANSTIG,2132,Gävleborgs län,61.9800215,17.0627975,"https://www.google.se/maps/@61.9800215,17.0627975,12z?entry=ttu"
